"Date","NEC","Atira","Aten","Apollo","Amor","PHA-km","PHA","NEA-km","NEA-140m","NEA","NEO"
"2022-03-16","117","28","2222","15990","10295","158","2256","887","10030","28535","28652"
"2022-03-01","117","28","2210","15901","10265","158","2255","887","10019","28404","28521"
"2022-02-01","117","28","2187","15715","10189","158","2248","887","9988","28119","28236"
"2022-01-01","117","27","2158","15528","10104","157","2234","886","9940","27817","27934"
"2021-12-01","117","27","2142","15423","10072","157","2229","886","9923","27664","27781"
"2021-11-01","117","26","2108","15191","9975","157","2220","886","9872","27300","27417"
"2021-10-01","117","26","2075","14953","9847","157","2208","885","9835","26901","27018"
"2021-09-01","117","26","2051","14753","9712","157","2201","885","9786","26542","26659"
"2021-08-01","116","24","2033","14648","9589","157","2190","883","9724","26294","26410"
"2021-07-01","116","24","2023","14585","9536","157","2183","883","9692","26168","26284"
"2021-06-01","115","23","2005","14505","9464","157","2176","882","9647","25997","26112"
"2021-05-01","115","23","1980","14367","9380","157","2171","882","9615","25750","25865"
"2021-04-01","114","23","1955","14181","9286","156","2162","881","9574","25445","25559"
"2021-03-01","114","23","1932","14054","9237","156","2160","881","9556","25246","25360"
"2021-02-01","114","23","1907","13884","9167","156","2152","881","9522","24981","25095"
"2021-01-01","114","22","1877","13711","9118","156","2145","881","9484","24728","24842"
"2020-12-01","114","22","1847","13555","9038","156","2134","881","9431","24462","24576"
"2020-11-01","114","22","1825","13387","8965","156","2123","881","9383","24199","24313"
"2020-10-01","114","22","1803","13188","8849","156","2114","880","9333","23862","23976"
"2020-09-01","114","22","1783","13013","8714","155","2105","879","9295","23532","23646"
"2020-08-01","114","22","1762","12889","8604","155","2090","879","9230","23277","23391"
"2020-07-01","114","21","1752","12824","8528","155","2083","879","9185","23125","23239"
"2020-06-01","113","21","1739","12773","8472","155","2078","879","9149","23005","23118"
"2020-05-01","113","21","1718","12646","8389","155","2068","879","9110","22774","22887"
"2020-04-01","112","20","1694","12477","8298","155","2064","879","9066","22489","22601"
"2020-03-01","112","20","1687","12362","8259","155","2053","879","9038","22328","22440"
"2020-02-01","112","20","1670","12222","8228","155","2044","879","9017","22140","22252"
"2020-01-01","112","19","1632","12007","8117","155","2030","878","8939","21775","21887"
"2019-12-01","111","19","1615","11887","8054","155","2023","878","8894","21575","21686"
"2019-11-01","111","19","1599","11738","8007","155","2012","878","8857","21363","21474"
"2019-10-01","111","19","1573","11518","7887","155","2002","878","8791","20997","21108"
"2019-09-01","111","19","1560","11372","7780","155","1996","877","8749","20731","20842"
"2019-08-01","111","19","1551","11293","7704","155","1989","876","8697","20567","20678"
"2019-07-01","111","19","1533","11215","7630","155","1977","876","8643","20397","20508"
"2019-06-01","110","18","1526","11147","7571","155","1970","875","8608","20262","20372"
"2019-05-01","110","18","1518","11045","7489","155","1966","875","8564","20070","20180"
"2019-04-01","110","18","1497","10948","7411","155","1961","874","8526","19874","19984"
"2019-03-01","110","18","1477","10878","7382","155","1955","874","8510","19755","19865"
"2019-02-01","110","18","1466","10782","7345","155","1947","874","8484","19611","19721"
"2019-01-01","110","17","1440","10615","7260","155","1934","873","8409","19332","19442"
"2018-12-01","110","17","1432","10521","7219","155","1927","873","8369","19189","19299"
"2018-11-01","110","17","1412","10384","7156","155","1923","873","8322","18969","19079"
"2018-10-01","110","17","1401","10289","7102","155","1915","873","8284","18809","18919"
"2018-09-01","110","17","1382","10172","7036","155","1910","873","8253","18607","18717"
"2018-08-01","110","17","1373","10117","6961","155","1903","873","8220","18468","18578"
"2018-07-01","110","17","1367","10079","6922","155","1898","872","8194","18385","18495"
"2018-06-01","110","17","1353","10018","6865","155","1887","872","8145","18253","18363"
"2018-05-01","110","16","1342","9941","6833","155","1882","871","8112","18132","18242"
"2018-04-01","110","16","1330","9838","6796","155","1877","870","8077","17980","18090"
"2018-03-01","110","16","1321","9742","6744","155","1867","870","8039","17823","17933"
"2018-02-01","110","16","1304","9649","6705","155","1864","870","8006","17674","17784"
"2018-01-01","110","16","1293","9530","6654","155","1852","869","7965","17493","17603"
"2017-12-01","109","14","1275","9405","6604","155","1843","868","7914","17298","17407"
"2017-11-01","109","14","1254","9269","6522","155","1829","866","7858","17059","17168"
"2017-10-01","109","14","1238","9094","6434","155","1819","866","7805","16780","16889"
"2017-09-01","109","14","1222","8986","6323","155","1809","866","7754","16545","16654"
"2017-08-01","109","14","1207","8924","6257","155","1802","866","7715","16402","16511"
"2017-07-01","109","14","1202","8892","6209","155","1792","866","7680","16317","16426"
"2017-06-01","109","14","1196","8841","6168","155","1781","865","7636","16219","16328"
"2017-05-01","109","14","1185","8781","6142","155","1776","864","7606","16122","16231"
"2017-04-01","109","14","1168","8709","6104","155","1768","864","7572","15995","16104"
"2017-03-01","109","14","1149","8555","6038","155","1760","863","7524","15756","15865"
"2017-02-01","109","14","1143","8477","5998","155","1755","863","7493","15632","15741"
"2017-01-01","109","14","1129","8349","5949","155","1737","862","7438","15441","15550"
"2016-12-01","109","14","1123","8278","5913","155","1724","862","7393","15328","15437"
"2016-11-01","109","14","1108","8159","5861","155","1717","862","7343","15142","15251"
"2016-10-01","109","14","1090","8039","5784","155","1708","862","7295","14927","15036"
"2016-09-01","109","14","1078","7957","5707","155","1705","861","7254","14756","14865"
"2016-08-01","109","14","1075","7906","5628","155","1695","861","7209","14623","14732"
"2016-07-01","109","14","1069","7871","5571","155","1686","861","7171","14525","14634"
"2016-06-01","109","14","1063","7813","5531","155","1681","861","7127","14421","14530"
"2016-05-01","108","14","1047","7748","5487","155","1673","861","7090","14296","14404"
"2016-04-01","108","14","1033","7659","5428","155","1665","860","7046","14134","14242"
"2016-03-01","108","14","1008","7515","5366","155","1656","859","6989","13903","14011"
"2016-02-01","108","14","994","7412","5304","154","1641","858","6944","13724","13832"
"2016-01-01","108","14","981","7317","5238","154","1624","856","6878","13550","13658"
"2015-12-01","106","14","961","7199","5182","154","1614","856","6819","13356","13462"
"2015-11-01","106","14","952","7108","5133","154","1610","855","6781","13207","13313"
"2015-10-01","106","14","949","7037","5066","154","1595","855","6726","13066","13172"
"2015-09-01","106","14","942","6984","5002","154","1590","855","6694","12942","13048"
"2015-08-01","106","14","941","6944","4965","154","1586","855","6663","12864","12970"
"2015-07-01","106","14","937","6918","4932","154","1579","854","6627","12801","12907"
"2015-06-01","106","14","935","6878","4894","154","1574","854","6592","12721","12827"
"2015-05-01","106","14","923","6815","4832","154","1564","854","6557","12584","12690"
"2015-04-01","105","14","918","6731","4773","153","1557","853","6519","12436","12541"
"2015-03-01","105","14","907","6621","4732","153","1545","850","6465","12274","12379"
"2015-02-01","104","13","899","6538","4693","153","1533","850","6427","12143","12247"
"2015-01-01","103","13","890","6455","4630","153","1519","849","6358","11988","12091"
"2014-12-01","103","13","881","6392","4593","153","1510","848","6305","11879","11982"
"2014-11-01","103","13","875","6318","4524","153","1501","845","6258","11730","11833"
"2014-10-01","102","13","868","6225","4462","153","1495","845","6217","11568","11670"
"2014-09-01","102","13","862","6170","4409","153","1490","845","6185","11454","11556"
"2014-08-01","102","13","857","6117","4336","153","1481","845","6126","11323","11425"
"2014-07-01","102","13","855","6077","4303","153","1473","845","6094","11248","11350"
"2014-06-01","102","13","846","6043","4250","153","1468","844","6055","11152","11254"
"2014-05-01","102","13","839","5973","4199","153","1456","843","6010","11024","11126"
"2014-04-01","102","13","827","5853","4091","153","1449","843","5957","10784","10886"
"2014-03-01","102","12","820","5796","4065","153","1444","843","5926","10693","10795"
"2014-02-01","102","12","812","5751","4026","153","1438","843","5892","10601","10703"
"2014-01-01","102","12","805","5698","3988","153","1434","842","5860","10503","10605"
"2013-12-01","102","12","800","5644","3960","153","1430","842","5828","10416","10518"
"2013-11-01","102","12","799","5573","3933","153","1422","841","5795","10317","10419"
"2013-10-01","101","11","787","5514","3871","152","1415","837","5755","10183","10284"
"2013-09-01","101","11","781","5457","3815","152","1411","836","5718","10064","10165"
"2013-08-01","101","11","779","5427","3778","152","1405","836","5691","9995","10096"
"2013-07-01","101","11","774","5399","3753","152","1398","835","5662","9937","10038"
"2013-06-01","101","11","771","5369","3734","151","1391","832","5632","9885","9986"
"2013-05-01","101","10","766","5330","3714","151","1384","832","5602","9820","9921"
"2013-04-01","101","10","761","5290","3683","151","1376","832","5569","9744","9845"
"2013-03-01","101","10","756","5244","3655","151","1368","832","5544","9665","9766"
"2013-02-01","100","10","751","5205","3629","151","1366","832","5521","9595","9695"
"2013-01-01","100","10","744","5125","3592","151","1352","831","5469","9471","9571"
"2012-12-01","100","10","736","5071","3561","151","1342","831","5433","9378","9478"
"2012-11-01","99","9","728","5019","3522","151","1334","829","5399","9278","9377"
"2012-10-01","99","9","722","4944","3467","151","1322","828","5345","9142","9241"
