recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn, , ,"""Y:M:D""", ,deg,deg,arcsec,deg,arcsec,mag, ,arcsec, , ,s,deg,deg,arcsec,arcsec,arcsec,deg,mag
1,2014KP84 ,23-11-2011,1-45-39,340.5432617,-26.1106935,3.26114523,75.54889706,0.71742783,21.69558062,7.61339567,1.540415801,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,340.5433333,-26.11070833,1.624,1.716,3.354122966,92.303,20.799,16.90458556,,,,,,,,,,,,,,,,,,,,,,
2,2021WO   ,23-11-2011,0-48-29,323.4082321,-26.20665983,3.97741197,177.7675845,0.38764488,21.95795249,9.121898224,0.827850585,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,323.403625,-26.20397222,138.407,90.932,4.200021,104.396,21.447,13.82985107,,,,,,,,,,,,,,,,,,,,,,
3,2013JT22 ,26-11-2011,2-43-22,352.6622062,-26.96969396,5.10964713,156.6336749,0.23206491,19.12128424,19.05370282,0.722082212,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,352.6627083,-26.96963889,5.149,0.676,5.758493019,95.172,19.02,18.55994706,,,,,,,,,,,,,,,,,,,,,,
4,2013JT22 ,26-11-2011,2-44-49,352.6650993,-26.96866793,5.3975376,157.009306,0.37231572,19.02290189,17.1690277,0.83055521,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,352.6656667,-26.96858333,5.149,0.676,5.75849302,95.172,19.02,16.13596238,,,,,,,,,,,,,,,,,,,,,,
5,2011SR26 ,27-09-2011,07-07-2002,3.826052271,-28.44800502,5.44051809,82.32790451,0.69073914,20.58914487,16.51864563,0.790956078,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,3.826041667,-28.44819444,2.275,6.646,5.531747674,96.679,20.804,13.3294408,,,,,,,,,,,,,,,,,,,,,,
6,2011SR26 ,27-09-2011,07-08-1930,3.826628396,-28.45093403,5.33538873,77.13965709,0.62187111,20.56165718,12.84868719,1.063499561,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,3.826645833,-28.45111111,2.277,6.647,5.501157246,96.68,20.804,9.968625815,,,,,,,,,,,,,,,,,,,,,,
7,2020PV65 ,04-09-2011,4-57-51,11.3044015,-24.96589301,3.29278593,96.97293494,0.37902963,21.12954412,32.30239723,0.812529442,ESO-VST/OMEGACAM,OCAM_r_SDSS,180,11.30520833,-24.965875,4.551,0.414,3.551077181,94.562,20.952,35.27429614,,,,,,,,,,,,,,,,,,,,,,
8,2020PV65 ,04-09-2011,05-01-1936,11.30426314,-24.96707704,3.52926546,102.678506,0.4120956,21.22798116,28.84416646,0.775390047,ESO-VST/OMEGACAM,OCAM_r_SDSS,180,11.305,-24.96706944,4.551,0.414,3.551077181,94.562,20.952,36.96385357,,,,,,,,,,,,,,,,,,,,,,
9,2011OV18 ,24-01-2012,7-14-13,128.4793139,-39.13071901,3.46062591,23.44594864,0.48045816,21.46819277,9.80192727,0.977917892,ESO-VST/OMEGACAM,OCAM_u_SDSS,150,128.4792292,-39.13076389,1.029,0.611,4.117362375,91.029,20.351,23.05294217,,,,,,,,,,,,,,,,,,,,,,
10,2012FX23 ,22-03-2012,4-53-20,187.6253663,-6.275854475,6.23564886,146.6451871,1.06360569,20.81024709,9.072875034,1.02494272,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,187.6247917,-6.276125,9.216,5.65,7.156137265,100.663,20.858,7.565681035,,,,,,,,,,,,,,,,,,,,,,
11,2012FX23 ,22-03-2012,4-54-46,187.6284867,-6.274360124,7.32277896,148.7979041,3.07356693,20.86853898,7.722307467,0.971821279,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,187.628,-6.274097222,9.205,5.644,7.156137265,100.651,20.858,7.979234318,,,,,,,,,,,,,,,,,,,,,,
12,2008EC85 ,21-09-2012,2-29-37,330.5976296,-11.68050283,3.76712595,113.0997488,0.63248304,21.19937565,16.98907472,0.633132903,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,330.5975,-11.68047222,2.257,1.488,3.716201835,92.592,20.972,21.23407211,,,,,,,,,,,,,,,,,,,,,,
13,2013LH25 ,26-09-2012,01-01-1958,6.231231876,-33.97992995,3.47396196,135.281065,0.31926132,21.3843677,9.244040644,0.628834005,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,6.231291667,-33.97991667,1.515,0.701,3.720236048,91.518,21.361,8.819946299,,,,,,,,,,,,,,,,,,,,,,
14,2013TN4  ,08-10-2013,0-46-22,353.0373184,-23.36564372,8.5493919,28.97527784,0.65191371,20.73396432,9.272472736,0.784708743,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,353.0371042,-23.365625,1.592,1.486,9.303380608,91.609,20.407,11.51533857,,,,,,,,,,,,,,,,,,,,,,
15,2013UK5  ,09-10-2013,2-59-40,4.755333425,-14.61042373,3.48621672,162.3417096,0.37935744,20.31391538,5.880327258,1.143269478,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,4.748,-14.61247222,105.519,41.893,3.395606369,162.699,19.937,8.542940422,,,,,,,,,,,,,,,,,,,,,,
16,2013UK5  ,09-10-2013,03-01-2010,4.757138124,-14.60996901,3.23944761,163.1850462,1.84668036,20.65484717,5.397139354,0.979258121,ESO-VST/OMEGACAM,OCAM_i_SDSS,45,4.749833333,-14.61202778,105.505,41.887,3.395606369,162.713,19.937,9.973757506,,,,,,,,,,,,,,,,,,,,,,
17,2013UU1  ,09-10-2013,3-46-27,359.2264455,-17.87660443,3.55780698,174.1544951,0.54283131,20.79072478,18.12004645,0.915784752,ESO-VST/OMEGACAM,OCAM_r_SDSS,45,359.2263958,-17.87670833,4.887,3.795,3.151607902,95.711,20.082,39.29183539,,,,,,,,,,,,,,,,,,,,,,
18,2013ES11 ,18-02-2013,7-22-02,180.8381541,1.803403747,3.20543349,14.87845343,1.40853762,21.71807246,36.58213506,0.606157109,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,180.8381042,1.803361111,2.668,0.928,3.250021,92.802,21.751,35.00269152,,,,,,,,,,,,,,,,,,,,,,
19,2013ES11 ,18-02-2013,7-28-46,180.8390377,1.802048337,3.28087977,10.31112037,0.33299091,21.71839175,35.11701625,0.616744637,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,180.8391042,1.803111111,2.669,0.928,3.250021,92.803,21.75,34.43350733,,,,,,,,,,,,,,,,,,,,,,
20,2013ES11 ,18-02-2013,7-42-14,180.8431733,1.802665045,2.94907305,15.74310404,0.51231243,21.69787844,41.66038952,0.589399514,ESO-VST/OMEGACAM,OCAM_r_SDSS,360,180.8410833,1.802638889,2.671,0.927,3.395606369,92.805,21.749,34.51799626,,,,,,,,,,,,,,,,,,,,,,
21,2013HO   ,03-04-2013,2-22-16,169.9582427,-63.24248519,4.90845705,117.6035982,0.49856205,21.11142394,8.794630663,1.357161621,ESO-VST/OMEGACAM,OCAM_g_SDSS,40,169.9604792,-63.24043056,9.345,16.297,6.068999497,108.454,20.887,8.7461431,,,,,,,,,,,,,,,,,,,,,,
22,2013HO   ,03-04-2013,2-35-59,169.98427,-63.22016966,2.99861289,116.8842496,0.42549297,20.19408851,25.60907677,0.992748016,ESO-VST/OMEGACAM,OCAM_r_SDSS,25,169.9866042,-63.21808333,9.362,16.307,3.725943704,108.474,20.445,16.35746085,,,,,,,,,,,,,,,,,,,,,,
23,2013EK28 ,20-05-2013,7-00-05,229.9681414,0.985524678,3.7651488,53.09576969,0.66119676,22.39768851,11.47725064,0.879578473,ESO-VST/OMEGACAM,OCAM_g_SDSS,180,229.968125,0.985472222,1.071,1.018,3.687838783,91.071,22.096,15.47126975,,,,,,,,,,,,,,,,,,,,,,
