Object,Close-Approach (CA) Date,CA DistanceNominal (au),CA DistanceMinimum (au),V relative(km/s),V infinity(km/s),H(mag),Diameter,
(2020 NO),2020-Jul-22 04:29 ± < 00:01,2.04 | 0.00523,2.03 | 0.00522,7.65,7.58,26.6,13 m -   28 m,bK20N00O
(2020 OG1),2020-Jul-23 06:09 ± < 00:01,10.35 | 0.02659,10.29 | 0.02644,11.49,11.48,24.6,32 m -   72 m,bK20O01G
(2020 ON),2020-Jul-23 14:00 ± < 00:01,13.58 | 0.03490,13.51 | 0.03472,17.41,17.41,23.7,48 m -  110 m,bK20O00N
(2020 ND),2020-Jul-24 11:13 ± < 00:01,14.49 | 0.03723,14.49 | 0.03723,13.61,13.6,21.6,130 m -  290 m,bK20N00D
(2020 NN),2020-Jul-25 12:56 ± < 00:01,16.21 | 0.04164,16.11 | 0.04139,10.12,10.11,24.4,35 m -   78 m,bK20N00N
(2020 OO1),2020-Jul-27 15:26 ±    00:06,1.74 | 0.00447,1.74 | 0.00447,7.27,7.19,26.3,14 m -   32 m,bK20O01O
(2020 NZ),2020-Jul-28 00:52 ±    00:20,8.20 | 0.02108,8.04 | 0.02065,7.79,7.78,25.4,22 m -   49 m,bK20N00Z
(2020 MX3),2020-Jul-29 16:40 ± < 00:01,9.39 | 0.02413,9.38 | 0.02411,8.53,8.51,23.7,49 m -  110 m,bK20M03X
(2018 PY7),2020-Jul-31 06:32 ±    11:01,8.86 | 0.02277,7.74 | 0.01990,9.52,9.51,26.8,12 m -   26 m,bK18P07Y
(2007 RF1),2020-Jul-31 09:03 ± 9_16:49,10.64 | 0.02735,9.04 | 0.02323,4.97,4.95,26.1,16 m -   36 m,bK07R01F
(2020 OC1),2020-Jul-31 13:38 ±    00:02,9.57 | 0.02458,9.49 | 0.02439,4.01,3.99,26.4,14 m -   31 m,bK20O01C
(2018 BD),2020-Aug-03 23:36 ± 1_14:25,7.52 | 0.01933,3.77 | 0.00970,9.41,9.4,30.1,2.5 m -  5.7 m,bK18B00D
(2009 PQ1),2020-Aug-05 16:35 ± 6_07:14,10.71 | 0.02752,8.40 | 0.02157,13.47,13.46,22.5,84 m -  190 m,bK09P01Q
(2020 FA1),2020-Aug-23 18:47 ±    00:04,18.32 | 0.04706,18.31 | 0.04704,1.93,1.9,26.3,15 m -   33 m,bK20F01A
(2016 AH164),2020-Aug-26 10:12 ± 1_05:19,15.61 | 0.04012,13.13 | 0.03374,5.63,5.62,29.7,3.1 m -  6.8 m,bK16AG4H
(2011 ES4),2020-Sep-01 16:12 ± 8_00:08,0.32 | 0.00081,0.19 | 0.00048,8.16,7.75,25.4,22 m -   49 m,bK11E04S
465824 (2010 FR),2020-Sep-06 08:38 ± < 00:01,19.28 | 0.04955,19.28 | 0.04955,14.04,14.04,21.7,120 m -  270 m,a0465824
(2012 RM15),2020-Sep-12 00:56 ± 1_00:37,14.84 | 0.03814,7.29 | 0.01872,9.78,9.77,24.5,33 m -   75 m,bK12R15M
(2017 US),2020-Sep-13 22:22 ±    04:16,17.19 | 0.04417,16.28 | 0.04183,5.94,5.93,26.1,16 m -   36 m,bK17U00S
(2014 QJ33),2020-Sep-18 21:32 ± 2_06:16,11.43 | 0.02936,2.79 | 0.00718,8.28,8.27,23.7,48 m -  110 m,bK14Q33J
