recno,Name,Date,Time,RAdeg,DEdeg,length,angle,sigma,mag,snr,seeing,Inst,Filter,ExpTime,predRA,predDE,preda,predb,predlength,predangle,predmag,predsn
1,2021FM2 ,22-03-2021,3-22-14,195.2860706,-0.572420327,8.37094671,100.7875733,0.42949557,20.4562269,8.490852109,1.305202101,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2860037,-0.571985,1.55261,0.364472,7.04150239,124.5629965,20.25,12.2054158
2,2021FM2 ,22-03-2021,3-23-58,195.286331,-0.569019015,7.52971863,99.00395573,2.24795277,20.37089158,10.13689897,1.314782398,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2862553,-0.5681,1.54076,0.362787,7.002182952,124.57539,20.25,12.18451779
3,2021FM2 ,22-03-2021,3-25-42,195.2865804,-0.565655236,7.56838656,96.62612359,1.93017972,20.58890399,8.862777208,1.223938641,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.286498,-0.56423,1.52896,0.361116,7.002182952,124.5873118,20.25,13.08888288
4,2021FM2 ,22-03-2021,3-27-27,195.2868009,-0.562269057,7.51729461,99.17349394,2.12325456,20.89216358,6.302248752,1.310605041,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2867382,-0.562295,1.52309,0.360286,6.963886022,124.5927116,20.25,12.29057498
5,2021FM2 ,22-03-2021,3-29-11,195.2870337,-0.558909649,7.70866698,97.31774094,2.17990542,20.55288768,8.943157071,1.231031494,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2869638,-0.558435,1.51138,0.358638,6.963764821,124.6038364,20.26,12.96529579
6,2021FM2 ,22-03-2021,3-30-56,195.2872499,-0.555626563,7.99605429,96.06726055,2.01367845,20.66081873,7.227533122,1.32953894,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.287182,-0.55458,1.49973,0.357003,6.925507842,124.6136926,20.26,12.07099331
7,2021FM2 ,22-03-2021,3-32-40,195.2874673,-0.552201617,7.61215455,98.63445525,1.06430058,20.80233394,7.353540551,1.204915845,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2873892,-0.55074,1.48813,0.355384,6.925136162,124.6227518,20.26,13.32019748
8,2021FM2 ,22-03-2021,3-34-25,195.2876642,-0.548919298,8.04524301,97.69308559,0.6265161,20.49306965,8.610653804,1.294467717,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2875904,-0.54882,1.48235,0.354581,6.925321354,124.626883,20.26,12.39836854
9,2021FM2 ,22-03-2021,3-36-10,195.2878542,-0.545504178,8.16788973,99.25806251,1.99493385,20.58450088,7.788476738,1.295781076,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.28778,-0.544985,1.47084,0.352985,6.886735166,124.6351451,20.26,12.4551995
10,2021FM2 ,22-03-2021,3-37-56,195.2880393,-0.542182252,7.42602945,97.20538392,2.29648251,20.74557576,8.195824501,1.167655571,ESO-VST/OMEGACAM,OCAM_r_SDSS,60,195.2879633,-0.541165,1.45939,0.351405,6.885438634,124.6421388,20.27,13.69775316
11,2018LR3 ,08-06-2018,3-33-17,213.0175257,-21.09166009,3.1944003,13.41592136,0.46938948,22.00550591,8.340478445,1.079036383,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,213.017402,-21.091605,0.100469,0.06410751,3.340170075,171.511589,21.67,10.86467689
12,2018LR3 ,08-06-2018,3-34-51,213.0161177,-21.09144494,2.66867118,360.0364798,0.83381844,21.93959009,11.06851612,1.034185035,ESO-VST/OMEGACAM,OCAM_g_SDSS,50,213.0159685,-21.091345,0.100143,0.06424398,3.32472468,171.6575219,21.67,11.38852713
13,2019DP  ,16-08-2017,8-46-47,349.9467833,-35.15524472,                   ,                   ,                    ,16.776,                   ,1.041458837,ESO-VST/OMEGACAM,OCAM_u_SDSS,250,349.967976,-35.1289,1200.55,6.18757,0.982629773,116.1307288,22.32,18.01713718
14,2019DP  ,16-08-2017,8-51-41,349.9466518,-35.155325,                   ,                   ,                    ,17.017,                   ,1.164953084,ESO-VST/OMEGACAM,OCAM_u_SDSS,250,349.967648,-35.128945,1200.55,6.18763,0.942231168,116.1307288,22.32,14.3996897
15,2019DP  ,16-08-2017,8-56-40,349.9463583,-35.15542,                   ,                   ,                    ,17.211,                   ,1.339729204,ESO-VST/OMEGACAM,OCAM_u_SDSS,250,349.96733,-35.128985,1200.54,6.18768,0.906477838,116.1307288,22.32,10.88769524
16,2019DP  ,21-08-2017,3-46-49,350.4774523,-35.57029036,2.64445083,312.7475801,0.32613357,19.21718184,78.87743072,0.712539621,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,350.4979766,-35.544,1191.02,6.3481,2.949832445,115.0664255,19.32,64.32306492
17,2019DP  ,21-08-2017,3-51-33,350.4767344,-35.57094513,2.47322418,311.1737796,0.26127213,19.21937689,91.33592639,0.656620027,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,350.4972675,-35.54469,1191.02,6.34831,2.906003794,115.0659065,19.32,70.8537501
18,2019DP  ,21-08-2017,3-56-18,350.4760108,-35.57159588,2.33984394,313.1242998,1.6376535,19.29125099,92.54689881,0.64109272,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,350.496542,-35.545365,1191.01,6.34851,2.936394273,115.0653875,19.32,71.81875899
19,2019DP  ,21-08-2017,04-01-2002,350.4752701,-35.57221766,2.60127126,317.0971892,0.80595963,19.3141065,73.53955238,0.71059276,ESO-VST/OMEGACAM,OCAM_i_SDSS,240,350.4957997,-35.54603,1191,6.34871,2.940804569,115.0651447,19.32,64.69730092
